observation,age,value,region,sex
DsFreeSus -> Disability,0_4,0.03609,Andean Latin America,F
DsFreeSus -> Disability,5_9,0.04928,Andean Latin America,F
DsFreeSus -> Disability,10_14,0.06248,Andean Latin America,F
DsFreeSus -> Disability,15_19,0.07567,Andean Latin America,F
DsFreeSus -> Disability,20_24,0.08886,Andean Latin America,F
DsFreeSus -> Disability,25_29,0.10206,Andean Latin America,F
DsFreeSus -> Disability,30_39,0.12184,Andean Latin America,F
DsFreeSus -> Disability,40_49,0.14823,Andean Latin America,F
DsFreeSus -> Disability,50_59,0.17462,Andean Latin America,F
DsFreeSus -> Disability,60_69,0.201,Andean Latin America,F
DsFreeSus -> Disability,70_79,0.22739,Andean Latin America,F
DsFreeSus -> Disability,80_100,0.26038,Andean Latin America,F
DsFreeSus -> COPDEpsd,0_4,0.0004,Andean Latin America,F
DsFreeSus -> COPDEpsd,5_9,0.0009,Andean Latin America,F
DsFreeSus -> COPDEpsd,10_14,0.0011,Andean Latin America,F
DsFreeSus -> COPDEpsd,15_19,0.0012,Andean Latin America,F
DsFreeSus -> COPDEpsd,20_24,0.0013,Andean Latin America,F
DsFreeSus -> COPDEpsd,25_29,0.0014,Andean Latin America,F
DsFreeSus -> COPDEpsd,30_39,0.0021,Andean Latin America,F
DsFreeSus -> COPDEpsd,40_49,0.0032,Andean Latin America,F
DsFreeSus -> COPDEpsd,50_59,0.005,Andean Latin America,F
DsFreeSus -> COPDEpsd,60_69,0.0088,Andean Latin America,F
DsFreeSus -> COPDEpsd,70_79,0.0241,Andean Latin America,F
DsFreeSus -> COPDEpsd,80_100,0.067,Andean Latin America,F
COPDEpsd -> Disability,0_4,0.10057,Andean Latin America,F
COPDEpsd -> Disability,5_9,0.10057,Andean Latin America,F
COPDEpsd -> Disability,10_14,0.10057,Andean Latin America,F
COPDEpsd -> Disability,15_19,0.10057,Andean Latin America,F
COPDEpsd -> Disability,20_24,0.10057,Andean Latin America,F
COPDEpsd -> Disability,25_29,0.10057,Andean Latin America,F
COPDEpsd -> Disability,30_39,0.10057,Andean Latin America,F
COPDEpsd -> Disability,40_49,0.10057,Andean Latin America,F
COPDEpsd -> Disability,50_59,0.10057,Andean Latin America,F
COPDEpsd -> Disability,60_69,0.10057,Andean Latin America,F
COPDEpsd -> Disability,70_79,0.10057,Andean Latin America,F
COPDEpsd -> Disability,80_100,0.10057,Andean Latin America,F
COPDEpsd -> Deceased,0_4,0.0,Andean Latin America,F
COPDEpsd -> Deceased,5_9,0.0,Andean Latin America,F
COPDEpsd -> Deceased,10_14,0.0,Andean Latin America,F
COPDEpsd -> Deceased,15_19,0.0,Andean Latin America,F
COPDEpsd -> Deceased,20_24,0.0,Andean Latin America,F
COPDEpsd -> Deceased,25_29,0.0,Andean Latin America,F
COPDEpsd -> Deceased,30_39,0.0001,Andean Latin America,F
COPDEpsd -> Deceased,40_49,0.0002,Andean Latin America,F
COPDEpsd -> Deceased,50_59,0.0005,Andean Latin America,F
COPDEpsd -> Deceased,60_69,0.0017,Andean Latin America,F
COPDEpsd -> Deceased,70_79,0.0065,Andean Latin America,F
COPDEpsd -> Deceased,80_100,0.0435,Andean Latin America,F
Prevalence -> COPDEpsd,0_4,0.001,Andean Latin America,F
Prevalence -> COPDEpsd,5_9,0.0042,Andean Latin America,F
Prevalence -> COPDEpsd,10_14,0.0093,Andean Latin America,F
Prevalence -> COPDEpsd,15_19,0.0151,Andean Latin America,F
Prevalence -> COPDEpsd,20_24,0.0211,Andean Latin America,F
Prevalence -> COPDEpsd,25_29,0.0275,Andean Latin America,F
Prevalence -> COPDEpsd,30_39,0.0401,Andean Latin America,F
Prevalence -> COPDEpsd,40_49,0.0635,Andean Latin America,F
Prevalence -> COPDEpsd,50_59,0.0972,Andean Latin America,F
Prevalence -> COPDEpsd,60_69,0.1475,Andean Latin America,F
Prevalence -> COPDEpsd,70_79,0.2229,Andean Latin America,F
Prevalence -> COPDEpsd,80_100,0.4208,Andean Latin America,F
Disability -> Disability,0_4,0.0,Andean Latin America,F
Disability -> Disability,5_9,0.0,Andean Latin America,F
Disability -> Disability,10_14,0.0,Andean Latin America,F
Disability -> Disability,15_19,0.0,Andean Latin America,F
Disability -> Disability,20_24,0.0,Andean Latin America,F
Disability -> Disability,25_29,0.0,Andean Latin America,F
Disability -> Disability,30_39,0.0,Andean Latin America,F
Disability -> Disability,40_49,0.0,Andean Latin America,F
Disability -> Disability,50_59,0.0,Andean Latin America,F
Disability -> Disability,60_69,0.0,Andean Latin America,F
Disability -> Disability,70_79,0.0,Andean Latin America,F
Disability -> Disability,80_100,0.0,Andean Latin America,F
SmokingCessation -> Disability,0_4,-4.0,Andean Latin America,F
SmokingCessation -> Disability,5_9,-4.0,Andean Latin America,F
SmokingCessation -> Disability,10_14,-4.0,Andean Latin America,F
SmokingCessation -> Disability,15_19,-4.0,Andean Latin America,F
SmokingCessation -> Disability,20_24,-4.0,Andean Latin America,F
SmokingCessation -> Disability,25_29,-4.0,Andean Latin America,F
SmokingCessation -> Disability,30_39,-4.0,Andean Latin America,F
SmokingCessation -> Disability,40_49,-4.0,Andean Latin America,F
SmokingCessation -> Disability,50_59,-4.0,Andean Latin America,F
SmokingCessation -> Disability,60_69,-4.0,Andean Latin America,F
SmokingCessation -> Disability,70_79,-4.0,Andean Latin America,F
SmokingCessation -> Disability,80_100,-4.0,Andean Latin America,F
SmokingCessation -> Deceased,0_4,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,5_9,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,10_14,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,15_19,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,20_24,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,25_29,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,30_39,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,40_49,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,50_59,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,60_69,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,70_79,-15.0,Andean Latin America,F
SmokingCessation -> Deceased,80_100,-15.0,Andean Latin America,F
InhaledSalbutamol -> Disability,0_4,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,5_9,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,10_14,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,15_19,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,20_24,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,25_29,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,30_39,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,40_49,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,50_59,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,60_69,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,70_79,-14.75866,Andean Latin America,F
InhaledSalbutamol -> Disability,80_100,-14.75866,Andean Latin America,F
LowDoseOralTheophylline -> Disability,0_4,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,5_9,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,10_14,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,15_19,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,20_24,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,25_29,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,30_39,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,40_49,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,50_59,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,60_69,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,70_79,-10.5419,Andean Latin America,F
LowDoseOralTheophylline -> Disability,80_100,-10.5419,Andean Latin America,F
IpratropiumInhaler -> Disability,0_4,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,5_9,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,10_14,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,15_19,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,20_24,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,25_29,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,30_39,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,40_49,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,50_59,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,60_69,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,70_79,-16.86704,Andean Latin America,F
IpratropiumInhaler -> Disability,80_100,-16.86704,Andean Latin America,F
Antibiotics -> Deceased,0_4,-76.0,Andean Latin America,F
Antibiotics -> Deceased,5_9,-76.0,Andean Latin America,F
Antibiotics -> Deceased,10_14,-76.0,Andean Latin America,F
Antibiotics -> Deceased,15_19,-76.0,Andean Latin America,F
Antibiotics -> Deceased,20_24,-76.0,Andean Latin America,F
Antibiotics -> Deceased,25_29,-76.0,Andean Latin America,F
Antibiotics -> Deceased,30_39,-76.0,Andean Latin America,F
Antibiotics -> Deceased,40_49,-76.0,Andean Latin America,F
Antibiotics -> Deceased,50_59,-76.0,Andean Latin America,F
Antibiotics -> Deceased,60_69,-76.0,Andean Latin America,F
Antibiotics -> Deceased,70_79,-76.0,Andean Latin America,F
Antibiotics -> Deceased,80_100,-76.0,Andean Latin America,F
OralPrednisolone -> Disability,0_4,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,5_9,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,10_14,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,15_19,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,20_24,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,25_29,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,30_39,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,40_49,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,50_59,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,60_69,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,70_79,-33.73407,Andean Latin America,F
OralPrednisolone -> Disability,80_100,-33.73407,Andean Latin America,F
OxygenConcentration24to28 -> Disability,0_4,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,5_9,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,10_14,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,15_19,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,20_24,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,25_29,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,30_39,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,40_49,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,50_59,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,60_69,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,70_79,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Disability,80_100,-42.0,Andean Latin America,F
OxygenConcentration24to28 -> Deceased,0_4,-50.0,Andean Latin America,F
OxygenConcentration24to28 -> Deceased,5_9,-50.0,Andean Latin America,F
OxygenConcentration24to28 -> Deceased,10_14,-50.0,Andean Latin America,F
OxygenConcentration24to28 -> Deceased,15_19,-50.0,Andean Latin America,F
OxygenConcentration24to28 -> Deceased,20_24,-50.0,Andean Latin America,F
