timestamp,author,element_label,value
2019-01-01,avenir,DsFreeSus,36926351
2020-01-01,avenir,DsFreeSus,37871358
2021-01-01,avenir,DsFreeSus,38816751
2022-01-01,avenir,DsFreeSus,39763213
2023-01-01,avenir,DsFreeSus,40711114
2024-01-01,avenir,DsFreeSus,41660498
2025-01-01,avenir,DsFreeSus,42611228
2026-01-01,avenir,DsFreeSus,43562359
2027-01-01,avenir,DsFreeSus,44512898
2028-01-01,avenir,DsFreeSus,45461656
2029-01-01,avenir,DsFreeSus,46407512
2030-01-01,avenir,DsFreeSus,47349027
2031-01-01,avenir,DsFreeSus,48285079
2032-01-01,avenir,DsFreeSus,49215592
2033-01-01,avenir,DsFreeSus,50140187
2034-01-01,avenir,DsFreeSus,51058504
2035-01-01,avenir,DsFreeSus,51969884
2036-01-01,avenir,DsFreeSus,52873606
2037-01-01,avenir,DsFreeSus,53768878
2038-01-01,avenir,DsFreeSus,54654932
2039-01-01,avenir,DsFreeSus,55531117
2040-01-01,avenir,DsFreeSus,56396735
2041-01-01,avenir,DsFreeSus,57249967
2042-01-01,avenir,DsFreeSus,58091018
2043-01-01,avenir,DsFreeSus,58918745
2044-01-01,avenir,DsFreeSus,59732133
2045-01-01,avenir,DsFreeSus,60530363
2046-01-01,avenir,DsFreeSus,61312941
2047-01-01,avenir,DsFreeSus,62079547
2048-01-01,avenir,DsFreeSus,62829985
2049-01-01,avenir,DsFreeSus,63564489
2050-01-01,avenir,DsFreeSus,64293129
2051-01-01,avenir,DsFreeSus,65012342
2052-01-01,avenir,DsFreeSus,65723455
2053-01-01,avenir,DsFreeSus,66425142
2054-01-01,avenir,DsFreeSus,67116448
2055-01-01,avenir,DsFreeSus,67796418
2056-01-01,avenir,DsFreeSus,68464103
2057-01-01,avenir,DsFreeSus,69118690
2058-01-01,avenir,DsFreeSus,69759270
2059-01-01,avenir,DsFreeSus,70385273
2060-01-01,avenir,DsFreeSus,70995399
2061-01-01,avenir,DsFreeSus,71588892
2062-01-01,avenir,DsFreeSus,72165240
2063-01-01,avenir,DsFreeSus,72723120
2064-01-01,avenir,DsFreeSus,73262045
2065-01-01,avenir,DsFreeSus,73781814
2066-01-01,avenir,DsFreeSus,74282015
2067-01-01,avenir,DsFreeSus,74762058
2068-01-01,avenir,DsFreeSus,75220864
2069-01-01,avenir,DsFreeSus,75658250
2070-01-01,avenir,DsFreeSus,76073134
2071-01-01,avenir,DsFreeSus,76465599
2072-01-01,avenir,DsFreeSus,76835821
2073-01-01,avenir,DsFreeSus,77183014
2074-01-01,avenir,DsFreeSus,77507889
2075-01-01,avenir,DsFreeSus,77811473
2076-01-01,avenir,DsFreeSus,78094960
2077-01-01,avenir,DsFreeSus,78359310
2078-01-01,avenir,DsFreeSus,78604141
2079-01-01,avenir,DsFreeSus,78832408
2080-01-01,avenir,DsFreeSus,79043677
2081-01-01,avenir,DsFreeSus,79238814
2082-01-01,avenir,DsFreeSus,79418966
2083-01-01,avenir,DsFreeSus,79583188
2084-01-01,avenir,DsFreeSus,79732679
2085-01-01,avenir,DsFreeSus,79869226
2086-01-01,avenir,DsFreeSus,79994306
2087-01-01,avenir,DsFreeSus,80109048
2088-01-01,avenir,DsFreeSus,80211830
2089-01-01,avenir,DsFreeSus,80307706
2090-01-01,avenir,DsFreeSus,80394913
2091-01-01,avenir,DsFreeSus,80473289
2092-01-01,avenir,DsFreeSus,80544719
2093-01-01,avenir,DsFreeSus,80608022
2094-01-01,avenir,DsFreeSus,80663228
2095-01-01,avenir,DsFreeSus,80711675
2096-01-01,avenir,DsFreeSus,80752862
2097-01-01,avenir,DsFreeSus,80788225
2098-01-01,avenir,DsFreeSus,80818473
2099-01-01,avenir,DsFreeSus,80843615
2100-01-01,avenir,DsFreeSus,80861498
2101-01-01,avenir,DsFreeSus,80873066
2102-01-01,avenir,DsFreeSus,80879115
2103-01-01,avenir,DsFreeSus,80880346
2104-01-01,avenir,DsFreeSus,80877386
2105-01-01,avenir,DsFreeSus,80870813
2106-01-01,avenir,DsFreeSus,80861190
2107-01-01,avenir,DsFreeSus,80849065
2108-01-01,avenir,DsFreeSus,80834963
2109-01-01,avenir,DsFreeSus,80819391
2110-01-01,avenir,DsFreeSus,80802984
2111-01-01,avenir,DsFreeSus,80786177
2112-01-01,avenir,DsFreeSus,80769345
2113-01-01,avenir,DsFreeSus,80752796
2114-01-01,avenir,DsFreeSus,80736768
2115-01-01,avenir,DsFreeSus,80721445
2116-01-01,avenir,DsFreeSus,80706967
2117-01-01,avenir,DsFreeSus,80693441
2118-01-01,avenir,DsFreeSus,80680939
2119-01-01,avenir,DsFreeSus,80669502
2019-01-01,avenir,Deceased,229436
