,,,,,Deaths,,,,DALYs,,,,HYL,,,,YLD,,,,Prevalence,,
Country Name,Income Status,ISO3,GBD Code,,CRNullCOPD,CR2,CR4,,Null,CR2,CR4,,Null,CR1,CR3,,Null,CR1,CR3,,Null,CR1,CR3
Afghanistan,LIC,AFG,160,,"79,868,042","79,868,042","79,868,042",,"3,461,366,855","3,459,455,318","3,452,348,833",,"5,757,189,149","5,759,100,686","5,766,207,170",,"919,730,033","917,818,496","910,712,012",,"6,676,919,182","6,676,919,182","6,676,919,182"
Algeria,LMIC,DZA,139,,"54,674,070","54,674,070","54,674,070",,"2,043,021,703","2,041,327,025","2,035,475,107",,"5,289,116,838","5,290,811,515","5,296,663,433",,"857,902,036","856,207,359","850,355,441",,"6,147,018,874","6,147,018,874","6,147,018,874"
Angola,LMIC,AGO,168,,"128,099,670","128,099,670","128,099,670",,"7,705,030,429","7,702,947,988","7,694,171,967",,"12,042,158,896","12,044,241,336","12,053,017,357",,"1,793,265,094","1,791,182,653","1,782,406,632",,"13,835,423,989","13,835,423,989","13,835,423,989"
Argentina,UMIC,ARG,97,,"53,158,927","53,158,927","53,158,927",,"1,728,529,323","1,726,187,197","1,719,145,763",,"4,449,630,159","4,451,972,285","4,459,013,719",,"644,002,674","641,660,548","634,619,114",,"5,093,632,832","5,093,632,832","5,093,632,832"
Bangladesh,LMIC,BGD,161,,"207,364,558","207,364,558","207,364,558",,"7,301,485,392","7,291,591,841","7,253,913,760",,"13,677,176,014","13,687,069,564","13,724,747,645",,"2,646,208,892","2,636,315,342","2,598,637,260",,"16,323,384,905","16,323,384,905","16,323,384,905"
Brazil,UMIC,BRA,135,,"219,404,066","219,404,066","219,404,066",,"7,263,486,065","7,254,638,385","7,228,025,244",,"15,610,811,582","15,619,659,263","15,646,272,403",,"2,619,379,296","2,610,531,615","2,583,918,475",,"18,230,190,878","18,230,190,878","18,230,190,878"
Burkina Faso,LIC,BFA,201,,"66,892,000","66,892,000","66,892,000",,"3,634,195,946","3,633,242,043","3,629,355,892",,"5,448,439,531","5,449,393,435","5,453,279,586",,"828,178,481","827,224,578","823,338,427",,"6,276,618,013","6,276,618,013","6,276,618,013"
Burundi,LIC,BDI,175,,"38,778,399","38,778,399","38,778,399",,"2,163,007,391","2,162,351,503","2,159,680,305",,"3,338,323,123","3,338,979,011","3,341,650,210",,"484,903,797","484,247,909","481,576,711",,"3,823,226,920","3,823,226,920","3,823,226,920"
Cameroon,LMIC,CMR,202,,"79,443,328","79,443,328","79,443,328",,"4,219,540,242","4,217,914,239","4,211,063,082",,"6,029,655,943","6,031,281,946","6,038,133,103",,"937,333,702","935,707,698","928,856,541",,"6,966,989,644","6,966,989,644","6,966,989,644"
Central African Republic,LIC,CAF,169,,"14,352,741","14,352,741","14,352,741",,"769,158,108","768,954,294","768,124,014",,"838,987,608","839,191,422","840,021,702",,"136,675,998","136,472,185","135,641,904",,"975,663,606","975,663,606","975,663,606"
Chad,LIC,TCD,204,,"64,243,994","64,243,994","64,243,994",,"3,868,811,071","3,868,032,702","3,864,861,386",,"4,131,917,958","4,132,696,327","4,135,867,643",,"611,950,910","611,172,541","608,001,224",,"4,743,868,868","4,743,868,868","4,743,868,868"
