observation,age,value,region,sex
DsFreeSus -> Disability,0_4,0.03882698800602889,Andean Latin America,M
DsFreeSus -> Disability,5_9,0.05161084522100495,Andean Latin America,M
DsFreeSus -> Disability,10_14,0.06439470243598103,Andean Latin America,M
DsFreeSus -> Disability,15_19,0.0771785596509571,Andean Latin America,M
DsFreeSus -> Disability,20_24,0.08996241686593316,Andean Latin America,M
DsFreeSus -> Disability,25_29,0.10274627408090924,Andean Latin America,M
DsFreeSus -> Disability,30_39,0.12192205990337333,Andean Latin America,M
DsFreeSus -> Disability,40_49,0.14748977433332547,Andean Latin America,M
DsFreeSus -> Disability,50_59,0.17305748876327762,Andean Latin America,M
DsFreeSus -> Disability,60_69,0.19862520319322974,Andean Latin America,M
DsFreeSus -> Disability,70_79,0.2241929176231819,Andean Latin America,M
DsFreeSus -> Disability,80_100,0.2561525606606221,Andean Latin America,M
DsFreeSus -> Diabetes,0_4,0.0,Andean Latin America,M
DsFreeSus -> Diabetes,5_9,0.0,Andean Latin America,M
DsFreeSus -> Diabetes,10_14,1e-09,Andean Latin America,M
DsFreeSus -> Diabetes,15_19,0.0002,Andean Latin America,M
DsFreeSus -> Diabetes,20_24,0.0003,Andean Latin America,M
DsFreeSus -> Diabetes,25_29,0.0007,Andean Latin America,M
DsFreeSus -> Diabetes,30_39,0.0013,Andean Latin America,M
DsFreeSus -> Diabetes,40_49,0.0023,Andean Latin America,M
DsFreeSus -> Diabetes,50_59,0.0028,Andean Latin America,M
DsFreeSus -> Diabetes,60_69,0.0019,Andean Latin America,M
DsFreeSus -> Diabetes,70_79,0.0043,Andean Latin America,M
DsFreeSus -> Diabetes,80_100,0.0099,Andean Latin America,M
Diabetes -> Disability,0_4,0.031,Andean Latin America,M
Diabetes -> Disability,5_9,0.031,Andean Latin America,M
Diabetes -> Disability,10_14,0.031,Andean Latin America,M
Diabetes -> Disability,15_19,0.031,Andean Latin America,M
Diabetes -> Disability,20_24,0.031,Andean Latin America,M
Diabetes -> Disability,25_29,0.031,Andean Latin America,M
Diabetes -> Disability,30_39,0.031,Andean Latin America,M
Diabetes -> Disability,40_49,0.031,Andean Latin America,M
Diabetes -> Disability,50_59,0.031,Andean Latin America,M
Diabetes -> Disability,60_69,0.031,Andean Latin America,M
Diabetes -> Disability,70_79,0.031,Andean Latin America,M
Diabetes -> Disability,80_100,0.031,Andean Latin America,M
Diabetes -> Deceased,0_4,0.0,Andean Latin America,M
Diabetes -> Deceased,5_9,0.0,Andean Latin America,M
Diabetes -> Deceased,10_14,0.0,Andean Latin America,M
Diabetes -> Deceased,15_19,0.0,Andean Latin America,M
Diabetes -> Deceased,20_24,0.0002443240469835142,Andean Latin America,M
Diabetes -> Deceased,25_29,0.0009162151761881784,Andean Latin America,M
