,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
DsFreeSus,"35,610,038","36,508,364","37,404,452","38,299,155","39,192,782","40,085,490","40,977,161","41,866,833","42,753,539","43,635,972","44,512,982","45,383,131","46,244,831","47,097,922","47,941,928","48,776,607","49,601,371","50,415,523","51,218,415","52,009,306","52,787,571","53,552,366","54,302,157","55,036,697","55,754,766","56,455,407","57,137,870","57,801,772","58,446,934","59,073,056","59,680,802","60,280,619","60,869,982","61,449,699","62,018,560","62,575,815","63,120,833","63,652,799","64,171,276","64,675,428","65,165,364","65,639,966","66,098,670","66,541,436","66,967,384","67,376,228","67,768,019","68,142,444","68,499,316","68,838,069","69,158,691","69,460,437","69,743,674","70,008,901","70,256,039","70,485,856","70,699,306","70,897,352","71,080,858","71,249,964","71,406,555","71,550,607","71,682,896","71,804,294","71,914,521","72,014,563","72,105,643","72,188,797","72,264,769","72,332,639","72,395,590","72,452,732","72,503,936","72,550,343","72,591,247","72,626,691","72,657,511","72,683,420","72,705,318","72,723,677","72,738,551","72,748,688","72,754,656","72,756,944","72,755,999","72,752,235","72,746,044","72,737,811","72,727,907","72,716,692","72,704,508","72,691,794","72,678,853","72,665,939","72,653,259","72,640,967","72,629,175","72,617,963","72,607,378","72,597,443","72,588,154"
Deceased,"229,237","230,103","231,092","232,450","234,307","236,356","238,028","239,887","241,922","244,171","246,337","248,917","251,906","254,577","257,531","260,738","264,222","267,979","271,995","276,250","280,723","285,588","291,871","297,364","303,292","309,506","316,015","322,787","329,844","337,148","344,569","356,368","370,045","382,589","395,838","409,442","423,451","437,885","452,685","467,895","483,198","499,160","515,384","531,672","548,806","565,960","582,976","600,105","617,557","635,837","653,929","673,006","692,169","711,348","731,629","751,574","770,959","789,719","808,062","827,264","843,889","861,129","877,547","892,854","909,175","924,560","938,431","951,023","962,545","975,543","983,577","993,076","1,002,329","1,009,429","1,017,384","1,025,153","1,031,541","1,038,320","1,043,629","1,048,159","1,052,628","1,059,124","1,064,753","1,069,627","1,073,859","1,077,561","1,080,808","1,083,623","1,086,016","1,088,006","1,089,609","1,090,679","1,091,391","1,091,778","1,091,878","1,091,744","1,091,423","1,090,942","1,090,324","1,089,588","1,088,754"
DsFreeSus -> DiabetesEpsd,"98,656","102,395","106,553","110,667","115,029","119,413","123,900","128,487","133,149","138,030","142,960","148,083","153,303","158,674","164,349","170,108","175,986","181,958","187,941","194,011","200,176","206,636","213,011","219,687","226,713","233,874","241,152","248,348","255,554","263,059","270,039","277,113","284,046","290,823","297,810","304,777","311,545","318,184","324,566","330,992","336,820","342,785","348,548","353,891","359,071","364,067","368,761","373,355","377,647","381,633","385,506","389,377","393,016","396,412","399,452","402,260","404,890","407,387","409,739","411,789","413,922","415,796","417,488","419,092","420,415","421,547","422,580","423,449","424,242","424,867","425,468","425,779","426,038","426,293","426,465","426,573","426,652","426,659","426,644","426,599","426,510","426,316","426,150","426,009","425,891","425,791","425,706","425,634","425,574","425,526","425,489","425,462","425,432","425,400","425,369","425,338","425,309","425,284","425,265","425,253","425,249"
DiabetesEpsd,"1,373,038","1,428,698","1,487,123","1,548,134","1,611,822","1,678,063","1,746,835","1,818,144","1,891,962","1,968,421","2,047,552","2,129,401","2,214,203","2,302,106","2,393,256","2,487,571","2,585,010","2,685,546","2,789,042","2,895,469","3,004,809","3,117,221","3,232,252","3,350,396","3,471,815","3,596,486","3,724,364","3,855,247","3,989,001","4,125,823","4,265,084","4,406,330","4,548,485","4,691,895","4,836,499","4,982,098","5,128,322","5,274,903","5,421,428","5,567,812","5,713,350","5,857,971","6,001,387","6,143,105","6,282,677","6,419,904","6,554,522","6,686,431","6,815,229","6,940,362","7,061,780","7,179,203","7,292,375","7,401,051","7,504,561","7,602,864","7,696,074","7,784,410","7,867,985","7,946,306","8,020,408","8,089,856","8,154,748","8,215,382","8,271,162","8,322,299","8,369,333","8,412,651","8,452,619","8,488,617","8,522,318","8,552,901","8,580,383","8,605,478","8,627,804","8,647,393","8,664,730","8,679,659","8,692,690","8,704,063","8,713,766","8,721,019","8,726,194","8,729,597","8,731,487","8,732,082","8,731,573","8,730,141","8,727,962","8,725,202","8,722,020","8,718,606","8,715,078","8,711,535","8,708,066","8,704,738","8,701,608","8,698,727","8,696,138","8,693,880","8,691,986"
DiabetesEpsd -> Deceased,"4,395","4,556","4,720","4,891","5,076","5,273","5,484","5,704","5,937","6,179","6,429","6,685","6,957","7,230","7,521","7,830","8,157","8,497","8,854","9,224","9,608","10,001","10,438","10,876","11,341","11,828","12,333","12,852","13,389","13,942","14,509","15,094","15,730","16,364","17,033","17,723","18,426","19,137","19,855","20,587","21,314","22,062","22,822","23,596","24,405","25,223","26,036","26,838","27,630","28,432","29,189","29,956","30,715","31,459","32,221","32,966","33,679","34,356","34,993","35,620","36,165","36,716","37,240","37,726","38,216","38,679","39,098","39,483","39,831","40,175","40,440","40,726","40,995","41,227","41,460","41,680","41,871","42,054","42,208","42,342","42,465","42,602","42,715","42,807","42,881","42,941","42,986","43,018","43,038","43,046","43,042","43,028","43,011","42,990","42,967","42,942","42,915","42,888","42,859","42,829","42,798"
DiabetesEpsd -> DiabeticRetinopathy,"1,357",469,488,507,527,548,571,594,618,643,669,696,725,755,786,819,854,889,926,964,"1,004","1,046","1,088","1,132","1,179","1,227","1,276","1,327","1,379","1,432","1,487","1,543","1,601","1,660","1,721","1,783","1,846","1,910","1,975","2,040","2,104","2,169","2,233","2,298","2,363","2,427","2,491","2,553","2,614","2,675","2,732","2,788","2,843","2,895","2,945","2,992","3,037","3,080","3,121","3,158","3,193","3,228","3,261","3,292","3,321","3,348","3,372","3,395","3,416","3,436","3,453","3,470","3,484","3,498","3,510","3,521","3,531","3,539","3,546","3,552","3,558","3,562","3,565","3,568","3,569","3,570","3,570","3,569","3,568","3,566","3,564","3,562","3,559","3,557","3,555","3,553","3,552","3,550","3,549","3,549","3,548"
DiabeticRetinopathy,"33,042","31,465","30,005","28,650","27,385","26,201","25,089","24,047","23,070","22,152","21,292","20,486","19,776","19,153","18,605","18,125","17,706","17,346","17,043","16,790","16,586","16,429","16,336","16,302","16,323","16,392","16,507","16,670","16,878","17,129","17,421","17,749","18,115","18,520","18,961","19,434","19,935","20,470","21,035","21,625","22,237","22,865","23,514","24,177","24,851","25,532","26,217","26,907","27,598","28,286","28,967","29,636","30,290","30,925","31,535","32,119","32,675","33,206","33,712","34,188","34,641","35,069","35,473","35,854","36,206","36,530","36,830","37,110","37,372","37,610","37,840","38,053","38,250","38,436","38,605","38,757","38,897","39,020","39,132","39,234","39,324","39,396","39,453","39,495","39,525","39,543","39,552","39,551","39,542","39,526","39,504","39,478","39,449","39,418","39,387","39,356","39,325","39,297","39,272","39,249","39,231"
DiabeticRetinopathy -> Deceased,"1,087","1,075","1,027",985,948,916,888,861,837,815,796,778,748,722,701,684,672,658,648,641,635,630,623,617,615,616,620,622,627,634,643,653,664,676,691,707,726,744,763,785,808,833,858,885,914,945,977,"1,008","1,040","1,073","1,105","1,138","1,171","1,204","1,239","1,273","1,306","1,338","1,367","1,397","1,423","1,448","1,473","1,496","1,519","1,541","1,561","1,580","1,597","1,613","1,626","1,640","1,653","1,665","1,677","1,688","1,698","1,708","1,716","1,724","1,731","1,739","1,746","1,751","1,756","1,760","1,763","1,765","1,766","1,767","1,768","1,768","1,767","1,766","1,765","1,763","1,762","1,760","1,758","1,756","1,754"
DiabetesEpsd -> LowerExtrmAmpt,"2,288","1,797","1,862","1,931","2,004","2,082","2,166","2,255","2,350","2,450","2,550","2,648","2,760","2,864","2,974","3,088","3,209","3,335","3,466","3,602","3,740","3,876","4,040","4,190","4,344","4,503","4,666","4,834","5,008","5,181","5,369","5,564","5,773","5,985","6,209","6,438","6,672","6,909","7,151","7,397","7,651","7,912","8,179","8,460","8,763","9,073","9,387","9,697","10,007","10,332","10,628","10,927","11,222","11,509","11,814","12,114","12,399","12,668","12,919","13,179","13,386","13,603","13,812","13,995","14,184","14,364","14,523","14,677","14,812","14,939","15,048","15,177","15,299","15,407","15,513","15,612","15,702","15,788","15,864","15,933","15,998","16,062","16,115","16,158","16,193","16,220","16,240","16,253","16,260","16,260","16,254","16,242","16,229","16,215","16,200","16,184","16,168","16,152","16,134","16,116","16,098"
LowerExtrmAmpt,"20,642","20,909","21,240","21,629","22,071","22,563","23,102","23,692","24,331","25,019","25,756","26,531","27,379","28,284","29,244","30,255","31,316","32,428","33,588","34,795","36,046","37,334","38,684","40,083","41,524","43,006","44,525","46,083","47,679","49,307","50,978","52,694","54,426","56,203","58,024","59,887","61,787","63,724","65,698","67,705","69,748","71,823","73,934","76,088","78,293","80,548","82,853","85,197","87,572","89,982","92,386","94,771","97,127","99,435","101,695","103,903","106,044","108,112","110,095","111,999","113,798","115,503","117,119","118,630","120,028","121,322","122,515","123,633","124,674","125,607","126,500","127,360","128,178","128,975","129,730","130,438","131,112","131,742","132,342","132,917","133,463","133,944","134,363","134,724","135,030","135,282","135,482","135,633","135,736","135,794","135,810","135,786","135,730","135,649","135,547","135,430","135,302","135,168","135,029","134,891","134,755"
LowerExtrmAmpt -> Deceased,714,735,740,748,760,775,793,813,836,861,888,917,942,970,"1,002","1,037","1,076","1,116","1,160","1,207","1,256","1,306","1,360","1,414","1,473","1,535","1,601","1,668","1,738","1,811","1,887","1,963","2,050","2,133","2,220","2,311","2,405","2,501","2,599","2,699","2,802","2,910","3,020","3,134","3,254","3,379","3,506","3,636","3,769","3,906","4,045","4,188","4,332","4,479","4,631","4,783","4,933","5,079","5,219","5,360","5,488","5,613","5,733","5,847","5,962","6,071","6,170","6,261","6,344","6,428","6,490","6,556","6,620","6,676","6,734","6,792","6,843","6,895","6,939","6,981","7,021","7,067","7,108","7,145","7,177","7,204","7,229","7,249","7,266","7,280","7,290","7,296","7,300","7,301","7,299","7,296","7,291","7,285","7,277","7,268","7,258"
DiabetesEpsd -> DiabeticNephropathy,"18,967","12,767","13,286","13,830","14,398","14,991","15,607","16,247","16,909","17,595","18,304","19,039","19,799","20,587","21,403","22,250","23,125","24,029","24,961","25,920","26,906","27,919","28,960","30,026","31,121","32,246","33,401","34,585","35,796","37,034","38,297","39,583","40,886","42,197","43,519","44,853","46,194","47,540","48,889","50,237","51,581","52,918","54,245","55,560","56,859","58,137","59,393","60,625","61,831","63,008","64,152","65,262","66,335","67,368","68,360","69,303","70,199","71,049","71,854","72,615","73,330","74,005","74,637","75,228","75,779","76,286","76,750","77,177","77,570","77,933","78,259","78,564","78,840","79,088","79,314","79,515","79,692","79,847","79,981","80,098","80,200","80,286","80,350","80,396","80,426","80,442","80,447","80,442","80,429","80,409","80,384","80,355","80,324","80,292","80,260","80,229","80,199","80,171","80,145","80,122","80,101"
DiabeticNephropathy,"276,843","278,610","280,894","283,660","286,871","290,497","294,513","298,925","303,718","308,882","314,436","320,358","326,908","334,080","341,845","350,174","359,040","368,466","378,431","388,922","399,930","411,448","423,576","436,348","449,732","463,701","478,229","493,368","509,098","525,408","542,292","559,692","577,471","595,748","614,455","633,540","652,952","672,749","692,870","713,267","733,889","754,665","775,612","796,672","817,744","838,777","859,733","880,602","901,312","921,772","941,915","961,634","980,869","999,542","1,017,523","1,034,776","1,051,286","1,067,075","1,082,136","1,096,383","1,109,943","1,122,753","1,134,824","1,146,172","1,156,675","1,166,368","1,175,338","1,183,679","1,191,448","1,198,494","1,205,192","1,211,417","1,217,148","1,222,522","1,227,437","1,231,881","1,235,945","1,239,581","1,242,890","1,245,916","1,248,648","1,250,898","1,252,719","1,254,154","1,255,240","1,256,009","1,256,490","1,256,714","1,256,710","1,256,512","1,256,150","1,255,664","1,255,083","1,254,436","1,253,749","1,253,042","1,252,336","1,251,647","1,250,993","1,250,388","1,249,847"
