,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
DsFreeSus,"35,610,038","36,508,364","37,404,452","38,299,155","39,192,782","40,085,490","40,977,161","41,866,833","42,753,539","43,635,972","44,512,982","45,383,131","46,244,831","47,097,922","47,941,928","48,776,607","49,601,371","50,415,523","51,218,415","52,009,306","52,787,571","53,552,366","54,302,157","55,036,697","55,754,766","56,455,407","57,137,870","57,801,772","58,446,934","59,073,056","59,680,802","60,280,619","60,869,982","61,449,699","62,018,560","62,575,815","63,120,833","63,652,799","64,171,276","64,675,428","65,165,364","65,639,966","66,098,670","66,541,436","66,967,384","67,376,228","67,768,019","68,142,444","68,499,316","68,838,069","69,158,691","69,460,437","69,743,674","70,008,901","70,256,039","70,485,856","70,699,306","70,897,352","71,080,858","71,249,964","71,406,555","71,550,607","71,682,896","71,804,294","71,914,521","72,014,563","72,105,643","72,188,797","72,264,769","72,332,639","72,395,590","72,452,732","72,503,936","72,550,343","72,591,247","72,626,691","72,657,511","72,683,420","72,705,318","72,723,677","72,738,551","72,748,688","72,754,656","72,756,944","72,755,999","72,752,235","72,746,044","72,737,811","72,727,907","72,716,692","72,704,508","72,691,794","72,678,853","72,665,939","72,653,259","72,640,967","72,629,175","72,617,963","72,607,378","72,597,443","72,588,154"
Deceased,"229,237","230,101","231,084","232,434","234,277","236,311","237,963","239,800","241,809","244,028","246,161","248,705","251,660","254,293","257,209","260,375","263,817","267,527","271,496","275,700","280,118","284,927","291,152","296,588","302,457","308,610","315,054","321,761","328,748","335,981","343,328","355,043","368,626","381,081","394,237","407,743","421,650","435,979","450,670","465,768","480,955","496,795","512,897","529,059","546,061","563,079","579,958","596,949","614,258","632,391","650,327","669,240","688,233","707,233","727,322","747,070","766,256","784,816","802,960","821,959","838,394","855,445","871,680","886,808","902,938","918,138","931,832","944,262","955,632","968,459","976,380","985,764","994,904","1,001,916","1,009,775","1,017,447","1,023,752","1,030,443","1,035,680","1,040,147","1,044,554","1,050,964","1,056,515","1,061,316","1,065,483","1,069,124","1,072,316","1,075,080","1,077,427","1,079,375","1,080,942","1,081,981","1,082,666","1,083,032","1,083,116","1,082,970","1,082,641","1,082,155","1,081,535","1,080,801","1,079,971"
DsFreeSus -> DiabetesEpsd,"98,656","102,395","106,553","110,667","115,029","119,413","123,900","128,487","133,149","138,030","142,960","148,083","153,303","158,674","164,349","170,108","175,986","181,958","187,941","194,011","200,176","206,636","213,011","219,687","226,713","233,874","241,152","248,348","255,554","263,059","270,039","277,113","284,046","290,823","297,810","304,777","311,545","318,184","324,566","330,992","336,820","342,785","348,548","353,891","359,071","364,067","368,761","373,355","377,647","381,633","385,506","389,377","393,016","396,412","399,452","402,260","404,890","407,387","409,739","411,789","413,922","415,796","417,488","419,092","420,415","421,547","422,580","423,449","424,242","424,867","425,468","425,779","426,038","426,293","426,465","426,573","426,652","426,659","426,644","426,599","426,510","426,316","426,150","426,009","425,891","425,791","425,706","425,634","425,574","425,526","425,489","425,462","425,432","425,400","425,369","425,338","425,309","425,284","425,265","425,253","425,249"
DiabetesEpsd,"1,373,038","1,420,527","1,470,788","1,523,627","1,579,123","1,637,141","1,697,648","1,760,643","1,826,090","1,894,114","1,964,735","2,037,996","2,114,095","2,193,166","2,275,345","2,360,544","2,448,716","2,539,822","2,633,723","2,730,384","2,829,781","2,932,069","3,036,793","3,144,422","3,255,116","3,368,848","3,485,573","3,605,082","3,727,239","3,852,236","3,979,437","4,108,412","4,238,186","4,369,033","4,500,910","4,633,634","4,766,853","4,900,307","5,033,602","5,166,667","5,298,819","5,430,015","5,559,981","5,688,241","5,814,384","5,938,230","6,059,533","6,178,212","6,293,904","6,406,092","6,514,784","6,619,755","6,720,789","6,817,689","6,909,853","6,997,258","7,080,031","7,158,382","7,232,435","7,301,740","7,367,269","7,428,618","7,485,874","7,539,332","7,588,464","7,633,458","7,674,805","7,712,830","7,747,868","7,779,391","7,808,843","7,835,465","7,859,287","7,880,937","7,900,099","7,916,810","7,931,500","7,944,043","7,954,889","7,964,251","7,972,125","7,977,846","7,981,756","7,984,137","7,985,227","7,985,225","7,984,306","7,982,635","7,980,367","7,977,651","7,974,628","7,971,465","7,968,259","7,965,091","7,962,032","7,959,136","7,956,446","7,954,000","7,951,832","7,949,970","7,948,436"
DiabetesEpsd -> Deceased,"4,395","4,543","4,678","4,820","4,974","5,141","5,321","5,509","5,709","5,918","6,133","6,354","6,590","6,828","7,082","7,353","7,640","7,939","8,254","8,580","8,919","9,267","9,656","10,045","10,460","10,893","11,343","11,807","12,285","12,779","13,286","13,809","14,376","14,944","15,543","16,160","16,789","17,425","18,067","18,721","19,369","20,036","20,714","21,403","22,124","22,851","23,574","24,286","24,987","25,697","26,364","27,040","27,708","28,360","29,028","29,682","30,304","30,895","31,450","31,996","32,469","32,948","33,403","33,824","34,249","34,649","35,011","35,344","35,644","35,940","36,169","36,416","36,648","36,848","37,049","37,237","37,400","37,556","37,686","37,800","37,903","38,017","38,110","38,186","38,246","38,293","38,328","38,352","38,366","38,369","38,363","38,347","38,329","38,309","38,288","38,265","38,241","38,217","38,192","38,166","38,140"
DiabetesEpsd -> DiabeticRetinopathy,"1,357","1,401","1,448","1,496","1,548","1,603","1,661","1,722","1,785","1,850","1,919","1,989","2,067","2,146","2,230","2,318","2,410","2,505","2,604","2,708","2,814","2,926","3,041","3,160","3,286","3,417","3,551","3,688","3,829","3,975","4,122","4,276","4,432","4,592","4,758","4,927","5,099","5,272","5,447","5,624","5,797","5,973","6,148","6,321","6,496","6,670","6,841","7,009","7,172","7,336","7,488","7,639","7,785","7,923","8,055","8,182","8,301","8,416","8,522","8,620","8,714","8,807","8,894","8,976","9,052","9,121","9,186","9,246","9,301","9,353","9,400","9,442","9,480","9,515","9,547","9,575","9,600","9,621","9,639","9,655","9,668","9,678","9,686","9,691","9,694","9,694","9,694","9,691","9,688","9,683","9,677","9,670","9,663","9,658","9,652","9,647","9,643","9,640","9,638","9,636","9,635"
DiabeticRetinopathy,"33,042","32,362","31,780","31,284","30,863","30,511","30,219","29,988","29,813","29,690","29,620","29,598","29,677","29,846","30,099","30,427","30,825","31,294","31,830","32,431","33,095","33,823","34,629","35,517","36,481","37,517","38,622","39,801","41,049","42,367","43,751","45,197","46,695","48,255","49,873","51,544","53,264","55,038","56,860","58,724","60,623","62,548","64,500","66,470","68,451","70,436","72,421","74,402","76,371","78,323","80,243","82,122","83,954","85,725","87,423","89,043","90,585","92,054","93,449","94,758","96,003","97,178","98,285","99,327","100,289","101,175","101,996","102,759","103,473","104,123","104,747","105,329","105,864","106,366","106,824","107,236","107,610","107,943","108,242","108,513","108,754","108,944","109,092","109,201","109,276","109,321","109,338","109,330","109,301","109,254","109,192","109,118","109,036","108,951","108,864","108,778","108,696","108,619","108,550","108,491","108,442"
DiabeticRetinopathy -> Deceased,"1,087","1,087","1,065","1,049","1,037","1,031","1,029","1,027","1,029","1,034","1,041","1,049","1,044","1,044","1,050","1,060","1,074","1,089","1,108","1,129","1,154","1,179","1,204","1,230","1,261","1,296","1,335","1,373","1,416","1,461","1,509","1,560","1,615","1,670","1,730","1,794","1,860","1,926","1,995","2,067","2,142","2,220","2,299","2,382","2,471","2,561","2,653","2,745","2,836","2,930","3,021","3,114","3,207","3,300","3,396","3,491","3,582","3,668","3,750","3,832","3,902","3,972","4,038","4,101","4,164","4,224","4,279","4,329","4,374","4,419","4,453","4,491","4,527","4,558","4,590","4,621","4,648","4,675","4,697","4,717","4,736","4,757","4,775","4,790","4,802","4,812","4,820","4,825","4,830","4,832","4,833","4,832","4,830","4,827","4,823","4,819","4,815","4,810","4,805","4,800","4,794"
DiabetesEpsd -> LowerExtrmAmpt,"2,288","2,374","2,445","2,521","2,603","2,691","2,786","2,888","2,997","3,112","3,227","3,340","3,470","3,591","3,717","3,850","3,991","4,138","4,292","4,450","4,613","4,771","4,965","5,140","5,321","5,506","5,697","5,894","6,098","6,301","6,521","6,750","6,995","7,246","7,509","7,778","8,054","8,333","8,618","8,907","9,206","9,512","9,826","10,156","10,513","10,877","11,246","11,609","11,971","12,352","12,696","13,044","13,388","13,720","14,074","14,422","14,751","15,061","15,351","15,649","15,886","16,136","16,376","16,586","16,802","17,008","17,191","17,368","17,523","17,668","17,792","17,942","18,082","18,208","18,329","18,443","18,546","18,643","18,730","18,809","18,882","18,953","19,013","19,061","19,099","19,128","19,149","19,162","19,167","19,165","19,156","19,140","19,123","19,105","19,087","19,069","19,050","19,030","19,010","18,989","18,968"
LowerExtrmAmpt,"20,642","21,454","22,294","23,163","24,059","24,982","25,934","26,921","27,943","29,003","30,102","31,230","32,428","33,682","34,990","36,350","37,760","39,224","40,740","42,305","43,919","45,572","47,295","49,072","50,897","52,767","54,677","56,632","58,629","60,661","62,743","64,876","67,024","69,223","71,472","73,767","76,105","78,485","80,904","83,360","85,857","88,389","90,960","93,579","96,254","98,986","101,773","104,602","107,463","110,361","113,246","116,105","118,923","121,680","124,375","127,003","129,548","132,003","134,355","136,608","138,733","140,745","142,650","144,430","146,075","147,597","149,000","150,314","151,538","152,635","153,686","154,697","155,660","156,598","157,486","158,317","159,108","159,846","160,547","161,219","161,856","162,414","162,899","163,314","163,664","163,951","164,176","164,343","164,454","164,511","164,519","164,481","164,405","164,300","164,172","164,028","163,872","163,709","163,542","163,377","163,215"
