,,,,,Deaths,,,,,,,,,,,DALYs,,,,,,,,,,,HYL,,,,,,,,,,,YLD,,,,,,,,,,,Prevalence,,,,,,,,,
Country Name,Income Status,ISO3,GBD Code,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10
Afghanistan,LIC,AFG,160,,"80,252,970","80,240,546","80,248,027","80,174,292","80,224,309",,,,,,,"3,539,821,238","3,539,148,428","3,539,540,323","3,520,168,820","3,529,120,249",,,,,,,"5,682,141,054","5,682,802,907","5,682,396,193","5,701,325,310","5,692,621,219",,,,,,,"969,269,012","969,483,828","969,329,328","955,054,139","960,554,401",,,,,,,"6,651,410,066","6,652,286,736","6,651,725,521","6,656,379,449","6,653,175,621",,,,,
Algeria,LMIC,DZA,139,,"56,032,628","55,909,421","55,960,778","55,616,112","56,033,703",,,,,,,"2,151,594,419","2,148,991,120","2,149,643,485","2,124,246,148","2,141,998,196",,,,,,,"5,186,065,310","5,188,164,402","5,187,641,392","5,211,412,068","5,195,655,809",,,,,,,"923,743,852","924,499,870","924,218,489","909,618,098","914,245,242",,,,,,,"6,109,809,162","6,112,664,272","6,111,859,882","6,121,030,166","6,109,901,051",,,,,
Angola,LMIC,AGO,168,,"128,780,145","128,749,267","128,774,536","128,674,866","128,746,248",,,,,,,"7,764,293,416","7,762,738,243","7,764,042,934","7,749,595,367","7,756,898,035",,,,,,,"11,995,280,682","11,996,257,086","11,995,458,222","12,008,325,824","12,002,138,644",,,,,,,"1,810,234,770","1,810,552,870","1,810,276,987","1,801,430,825","1,804,732,972",,,,,,,"13,805,515,452","13,806,809,955","13,805,735,209","13,809,756,649","13,806,871,617",,,,,
Argentina,UMIC,ARG,97,,"53,640,157","53,591,216","53,608,981","53,434,263","53,624,239",,,,,,,"1,780,660,141","1,779,532,078","1,779,742,143","1,765,658,237","1,774,887,870",,,,,,,"4,399,686,740","4,400,690,696","4,400,475,108","4,413,888,934","4,405,371,127",,,,,,,"677,012,413","677,247,033","677,139,108","668,675,297","671,880,993",,,,,,,"5,076,699,153","5,077,937,729","5,077,614,216","5,082,564,231","5,077,252,120",,,,,
Bangladesh,LMIC,BGD,161,,"207,292,302","207,238,688","207,275,935","206,982,124","207,176,074",,,,,,,"7,352,722,635","7,351,039,126","7,352,114,123","7,316,442,460","7,333,450,025",,,,,,,"13,624,480,942","13,625,939,826","13,625,003,757","13,659,977,067","13,643,602,128",,,,,,,"2,699,157,325","2,699,641,499","2,699,311,436","2,673,764,917","2,683,451,667",,,,,,,"16,323,638,267","16,325,581,325","16,324,315,193","16,333,741,983","16,327,053,795",,,,,
Brazil,UMIC,BRA,135,,"223,125,155","222,881,997","222,987,486","222,067,699","222,987,785",,,,,,,"7,522,942,204","7,517,202,010","7,518,971,843","7,459,172,928","7,499,025,253",,,,,,,"15,365,683,592","15,370,434,904","15,369,034,202","15,424,990,893","15,389,061,559",,,,,,,"2,751,623,845","2,752,685,297","2,752,164,854","2,720,078,862","2,731,931,819",,,,,,,"18,117,307,437","18,123,120,202","18,121,199,057","18,145,069,755","18,120,993,378",,,,,
Burkina Faso,LIC,BFA,201,,"67,105,329","67,100,175","67,102,272","67,073,103","67,095,823",,,,,,,"3,659,010,341","3,658,537,327","3,658,782,498","2,651,019,055","3,656,138,518",,,,,,,"5,427,145,348","5,427,553,246","5,427,337,352","5,432,839,801","5,429,846,541",,,,,,,"832,501,950","832,620,024","832,547,895","829,249,247","830,415,648",,,,,,,"6,259,647,299","6,260,173,270","6,259,885,247","6,262,089,048","6,260,262,190",,,,,
Burundi,LIC,BDI,175,,"38,888,555","38,882,505","38,886,230","38,859,361","38,879,965",,,,,,,"2,170,872,342","2,170,574,704","2,170,758,566","1,590,901,161","2,169,388,645",,,,,,,"3,332,360,401","3,332,569,026","3,332,443,243","3,335,185,859","3,333,722,510",,,,,,,"485,584,392","485,640,738","485,599,117","483,998,991","484,588,446",,,,,,,"3,817,944,794","3,818,209,763","3,818,042,359","3,819,184,850","3,818,310,956",,,,,
Cameroon,LMIC,CMR,202,,"79,709,419","79,705,193","79,706,675","79,674,391","79,697,030",,,,,,,"4,242,992,160","4,242,514,870","4,242,763,760","4,236,275,044","4,239,790,319",,,,,,,"6,009,874,366","6,010,309,776","6,010,073,000","6,016,124,787","6,012,879,310",,,,,,,"933,367,123","933,478,446","933,403,711","930,014,900","931,244,934",,,,,,,"6,943,241,489","6,943,788,222","6,943,476,711","6,946,139,687","6,944,124,244",,,,,
Central African Republic,LIC,CAF,169,,"14,385,326","14,384,356","14,385,118","14,380,137","14,383,179",,,,,,,"774,555,699","774,442,528","774,536,509","511,533,142","773,823,897",,,,,,,"834,261,375","834,357,722","834,279,129","835,586,324","834,959,507",,,,,,,"138,501,059","138,531,457","138,505,093","137,668,544","137,980,858",,,,,,,"972,762,434","972,889,178","972,784,222","973,254,868","972,940,365",,,,,
Chad,LIC,TCD,204,,"64,407,022","64,399,508","64,403,464","64,371,925","64,398,540",,,,,,,"3,881,767,806","3,881,400,205","3,881,595,828","2,645,944,455","3,879,774,907",,,,,,,"4,120,966,674","4,121,259,954","4,121,102,073","4,124,942,627","4,122,845,372",,,,,,,"614,588,605","614,677,150","614,619,988","612,275,871","613,105,176",,,,,,,"4,735,555,278","4,735,937,105","4,735,722,061","4,737,218,499","4,735,950,548",,,,,
China,UMIC,CHN,6,,"1,581,359,770","1,580,685,641","1,580,938,715","1,578,665,436","1,581,179,803",,,,,,,"42,790,909,520","42,771,546,547","42,776,826,032","42,457,030,948","42,641,328,416",,,,,,,"101,422,812,370","101,442,207,148","101,436,326,516","101,754,458,823","101,572,356,523",,,,,,,"14,528,401,054","14,534,033,170","14,530,795,849","14,296,055,707","14,385,839,306",,,,,,,"115,951,213,425","115,976,240,318","115,967,122,365","116,050,514,530","115,958,195,828",,,,,
Colombia,UMIC,COL,125,,"52,269,168","52,183,721","52,219,620","51,970,710","52,263,415",,,,,,,"1,758,944,678","1,757,119,537","1,757,646,464","1,737,797,309","1,750,915,041",,,,,,,"3,978,896,842","3,980,390,241","3,979,976,944","3,998,800,772","3,986,907,246",,,,,,,"686,813,631","687,211,073","687,034,739","674,318,721","679,007,592",,,,,,,"4,665,710,474","4,667,601,314","4,667,011,683","4,673,119,493","4,665,914,839",,,,,
Côte d'Ivoire,LMIC,CIV,205,,"83,997,961","83,992,843","83,994,702","83,965,946","83,988,999",,,,,,,"4,611,795,645","4,611,282,282","4,611,540,745","4,605,014,939","4,608,637,924",,,,,,,"6,149,719,651","6,150,168,209","6,149,935,052","6,156,072,804","6,152,737,356",,,,,,,"931,319,260","931,449,541","931,367,715","927,585,440","928,934,536",,,,,,,"7,081,038,910","7,081,617,749","7,081,302,767","7,083,658,244","7,081,671,891",,,,,
Cuba,UMIC,CUB,109,,"10,996,093","10,973,826","10,978,201","10,903,966","11,000,763",,,,,,,"351,417,225","350,909,173","350,935,619","346,561,995","350,145,201",,,,,,,"655,876,779","656,306,056","656,289,669","660,390,249","657,165,275",,,,,,,"152,943,319","153,126,992","153,090,158","151,185,817","151,550,492",,,,,,,"808,820,098","809,433,048","809,379,827","811,576,066","808,715,767",,,,,
Democratic People's Republic of Korea,LIC,PRK,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
