country,scenario,metric,year,value,cum_value,source
AFG,physical_inactivity_p2,deaths averted,2025-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,deaths averted,2026-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,deaths averted,2027-01-01,1.8300000000162981,1.8300000000162981,diabetes
AFG,physical_inactivity_p2,deaths averted,2028-01-01,3.7399999999906868,5.570000000006985,diabetes
AFG,physical_inactivity_p2,deaths averted,2029-01-01,5.760000000009313,11.330000000016298,diabetes
AFG,physical_inactivity_p2,deaths averted,2030-01-01,7.869999999995343,19.20000000001164,diabetes
AFG,physical_inactivity_p2,deaths averted,2031-01-01,10.079999999987194,29.279999999998836,diabetes
AFG,physical_inactivity_p2,deaths averted,2032-01-01,12.420000000012806,41.70000000001164,diabetes
AFG,physical_inactivity_p2,deaths averted,2033-01-01,14.879999999975553,56.579999999987194,diabetes
AFG,physical_inactivity_p2,deaths averted,2034-01-01,17.45000000001164,74.02999999999884,diabetes
AFG,physical_inactivity_p2,deaths averted,2035-01-01,20.15999999997439,94.18999999997322,diabetes
AFG,physical_inactivity_p2,deaths averted,2036-01-01,22.980000000010477,117.1699999999837,diabetes
AFG,physical_inactivity_p2,deaths averted,2037-01-01,25.95999999999185,143.12999999997555,diabetes
AFG,physical_inactivity_p2,deaths averted,2038-01-01,29.10000000000582,172.22999999998137,diabetes
AFG,physical_inactivity_p2,deaths averted,2039-01-01,32.38000000000466,204.60999999998603,diabetes
AFG,physical_inactivity_p2,deaths averted,2040-01-01,35.80999999999767,240.4199999999837,diabetes
AFG,physical_inactivity_p2,deaths averted,2041-01-01,39.389999999984866,279.80999999996857,diabetes
AFG,physical_inactivity_p2,deaths averted,2042-01-01,43.13000000000466,322.9399999999732,diabetes
AFG,physical_inactivity_p2,deaths averted,2043-01-01,47.05999999999767,369.9999999999709,diabetes
AFG,physical_inactivity_p2,deaths averted,2044-01-01,51.11999999999534,421.11999999996624,diabetes
AFG,physical_inactivity_p2,deaths averted,2045-01-01,55.33999999999651,476.45999999996275,diabetes
AFG,physical_inactivity_p2,deaths averted,2046-01-01,59.70999999999185,536.1699999999546,diabetes
AFG,physical_inactivity_p2,deaths averted,2047-01-01,64.23999999999069,600.4099999999453,diabetes
AFG,physical_inactivity_p2,deaths averted,2048-01-01,68.94999999995343,669.3599999998987,diabetes
AFG,physical_inactivity_p2,deaths averted,2049-01-01,73.82000000000698,743.1799999999057,diabetes
AFG,physical_inactivity_p2,deaths averted,2050-01-01,78.80000000004657,821.9799999999523,diabetes
AFG,physical_inactivity_p2,economic benefit,2025-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,economic benefit,2026-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,economic benefit,2027-01-01,1483.2736349105835,1483.2736349105835,diabetes
AFG,physical_inactivity_p2,economic benefit,2028-01-01,3178.021593093872,4661.295228004456,diabetes
AFG,physical_inactivity_p2,economic benefit,2029-01-01,5057.326027870178,9718.621255874634,diabetes
AFG,physical_inactivity_p2,economic benefit,2030-01-01,7097.657217979431,16816.278473854065,diabetes
AFG,physical_inactivity_p2,economic benefit,2031-01-01,9266.352932929993,26082.631406784058,diabetes
AFG,physical_inactivity_p2,economic benefit,2032-01-01,11547.098771095276,37629.73017787933,diabetes
AFG,physical_inactivity_p2,economic benefit,2033-01-01,13915.054719924927,51544.78489780426,diabetes
AFG,physical_inactivity_p2,economic benefit,2034-01-01,16348.301193237305,67893.08609104156,diabetes
AFG,physical_inactivity_p2,economic benefit,2035-01-01,18831.83015537262,86724.91624641418,diabetes
AFG,physical_inactivity_p2,economic benefit,2036-01-01,21341.892163276672,108066.80840969086,diabetes
AFG,physical_inactivity_p2,economic benefit,2037-01-01,23871.63255214691,131938.44096183777,diabetes
AFG,physical_inactivity_p2,economic benefit,2038-01-01,26412.23326587677,158350.67422771454,diabetes
AFG,physical_inactivity_p2,economic benefit,2039-01-01,28948.887645721436,187299.56187343597,diabetes
AFG,physical_inactivity_p2,economic benefit,2040-01-01,31468.00085544586,218767.56272888184,diabetes
AFG,physical_inactivity_p2,economic benefit,2041-01-01,33920.764989852905,252688.32771873474,diabetes
AFG,physical_inactivity_p2,economic benefit,2042-01-01,36325.362862586975,289013.6905813217,diabetes
AFG,physical_inactivity_p2,economic benefit,2043-01-01,38687.838307380676,327701.5288887024,diabetes
AFG,physical_inactivity_p2,economic benefit,2044-01-01,40997.57447338104,368699.10336208344,diabetes
AFG,physical_inactivity_p2,economic benefit,2045-01-01,43247.5356464386,411946.63900852203,diabetes
AFG,physical_inactivity_p2,economic benefit,2046-01-01,45415.17847919464,457361.8174877167,diabetes
AFG,physical_inactivity_p2,economic benefit,2047-01-01,47510.06891345978,504871.88640117645,diabetes
AFG,physical_inactivity_p2,economic benefit,2048-01-01,49534.23599433899,554406.1223955154,diabetes
AFG,physical_inactivity_p2,economic benefit,2049-01-01,51474.97214221954,605881.094537735,diabetes
AFG,physical_inactivity_p2,economic benefit,2050-01-01,53324.82419395447,659205.9187316895,diabetes
AFG,physical_inactivity_p2,healthy years lived,2025-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,healthy years lived,2026-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,healthy years lived,2027-01-01,5.740000002086163,5.740000002086163,diabetes
AFG,physical_inactivity_p2,healthy years lived,2028-01-01,12.780000001192093,18.520000003278255,diabetes
AFG,physical_inactivity_p2,healthy years lived,2029-01-01,21.099999994039536,39.61999999731779,diabetes
AFG,physical_inactivity_p2,healthy years lived,2030-01-01,30.71000000089407,70.32999999821186,diabetes
AFG,physical_inactivity_p2,healthy years lived,2031-01-01,41.63000000268221,111.96000000089407,diabetes
AFG,physical_inactivity_p2,healthy years lived,2032-01-01,53.82999999821186,165.78999999910593,diabetes
