country,scenario,metric,year,value,cum_value,source
AFG,physical_inactivity_p2,deaths averted,2025-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,deaths averted,2026-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,deaths averted,2027-01-01,1.8300000000162981,1.8300000000162981,diabetes
AFG,physical_inactivity_p2,deaths averted,2028-01-01,3.7399999999906868,5.570000000006985,diabetes
AFG,physical_inactivity_p2,deaths averted,2029-01-01,5.760000000009313,11.330000000016298,diabetes
AFG,physical_inactivity_p2,deaths averted,2030-01-01,7.869999999995343,19.20000000001164,diabetes
AFG,physical_inactivity_p2,deaths averted,2031-01-01,10.079999999987194,29.279999999998836,diabetes
AFG,physical_inactivity_p2,deaths averted,2032-01-01,12.420000000012806,41.70000000001164,diabetes
AFG,physical_inactivity_p2,deaths averted,2033-01-01,14.879999999975553,56.579999999987194,diabetes
AFG,physical_inactivity_p2,deaths averted,2034-01-01,17.45000000001164,74.02999999999884,diabetes
AFG,physical_inactivity_p2,deaths averted,2035-01-01,20.15999999997439,94.18999999997322,diabetes
AFG,physical_inactivity_p2,deaths averted,2036-01-01,22.980000000010477,117.1699999999837,diabetes
AFG,physical_inactivity_p2,deaths averted,2037-01-01,25.95999999999185,143.12999999997555,diabetes
AFG,physical_inactivity_p2,deaths averted,2038-01-01,29.10000000000582,172.22999999998137,diabetes
AFG,physical_inactivity_p2,deaths averted,2039-01-01,32.38000000000466,204.60999999998603,diabetes
AFG,physical_inactivity_p2,deaths averted,2040-01-01,35.80999999999767,240.4199999999837,diabetes
AFG,physical_inactivity_p2,deaths averted,2041-01-01,39.389999999984866,279.80999999996857,diabetes
AFG,physical_inactivity_p2,deaths averted,2042-01-01,43.13000000000466,322.9399999999732,diabetes
AFG,physical_inactivity_p2,deaths averted,2043-01-01,47.05999999999767,369.9999999999709,diabetes
AFG,physical_inactivity_p2,deaths averted,2044-01-01,51.11999999999534,421.11999999996624,diabetes
AFG,physical_inactivity_p2,deaths averted,2045-01-01,55.33999999999651,476.45999999996275,diabetes
AFG,physical_inactivity_p2,deaths averted,2046-01-01,59.70999999999185,536.1699999999546,diabetes
AFG,physical_inactivity_p2,deaths averted,2047-01-01,64.23999999999069,600.4099999999453,diabetes
AFG,physical_inactivity_p2,deaths averted,2048-01-01,68.94999999995343,669.3599999998987,diabetes
AFG,physical_inactivity_p2,deaths averted,2049-01-01,73.82000000000698,743.1799999999057,diabetes
AFG,physical_inactivity_p2,deaths averted,2050-01-01,78.80000000004657,821.9799999999523,diabetes
AFG,physical_inactivity_p2,economic benefit,2025-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,economic benefit,2026-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,economic benefit,2027-01-01,988.8490896224976,988.8490896224976,diabetes
AFG,physical_inactivity_p2,economic benefit,2028-01-01,2118.68106174469,3107.5301513671875,diabetes
AFG,physical_inactivity_p2,economic benefit,2029-01-01,3371.550684928894,6479.0808362960815,diabetes
AFG,physical_inactivity_p2,economic benefit,2030-01-01,4731.77147769928,11210.852313995361,diabetes
AFG,physical_inactivity_p2,economic benefit,2031-01-01,6177.568621635437,17388.4209356308,diabetes
AFG,physical_inactivity_p2,economic benefit,2032-01-01,7698.065847396851,25086.48678302765,diabetes
AFG,physical_inactivity_p2,economic benefit,2033-01-01,9276.703145980835,34363.189929008484,diabetes
AFG,physical_inactivity_p2,economic benefit,2034-01-01,10898.867462158203,45262.05739116669,diabetes
AFG,physical_inactivity_p2,economic benefit,2035-01-01,12554.553437232971,57816.61082839966,diabetes
AFG,physical_inactivity_p2,economic benefit,2036-01-01,14227.92811012268,72044.53893852234,diabetes
AFG,physical_inactivity_p2,economic benefit,2037-01-01,15914.421702384949,87958.96064090729,diabetes
AFG,physical_inactivity_p2,economic benefit,2038-01-01,17608.15551185608,105567.11615276337,diabetes
AFG,physical_inactivity_p2,economic benefit,2039-01-01,19299.258430480957,124866.37458324432,diabetes
AFG,physical_inactivity_p2,economic benefit,2040-01-01,20978.6672372818,145845.04182052612,diabetes
AFG,physical_inactivity_p2,economic benefit,2041-01-01,22613.843327522278,168458.8851480484,diabetes
AFG,physical_inactivity_p2,economic benefit,2042-01-01,24216.90857553482,192675.79372358322,diabetes
AFG,physical_inactivity_p2,economic benefit,2043-01-01,25791.89220380783,218467.68592739105,diabetes
AFG,physical_inactivity_p2,economic benefit,2044-01-01,27331.71631526947,245799.40224266052,diabetes
AFG,physical_inactivity_p2,economic benefit,2045-01-01,28831.690430164337,274631.09267282486,diabetes
AFG,physical_inactivity_p2,economic benefit,2046-01-01,30276.78565311432,304907.8783259392,diabetes
AFG,physical_inactivity_p2,economic benefit,2047-01-01,31673.37927532196,336581.25760126114,diabetes
AFG,physical_inactivity_p2,economic benefit,2048-01-01,33022.82399702072,369604.08159828186,diabetes
AFG,physical_inactivity_p2,economic benefit,2049-01-01,34316.64809465408,403920.72969293594,diabetes
AFG,physical_inactivity_p2,economic benefit,2050-01-01,35549.88279628754,439470.6124892235,diabetes
AFG,physical_inactivity_p2,healthy years lived,2025-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,healthy years lived,2026-01-01,0.0,0.0,diabetes
AFG,physical_inactivity_p2,healthy years lived,2027-01-01,5.740000002086163,5.740000002086163,diabetes
AFG,physical_inactivity_p2,healthy years lived,2028-01-01,12.780000001192093,18.520000003278255,diabetes
AFG,physical_inactivity_p2,healthy years lived,2029-01-01,21.099999994039536,39.61999999731779,diabetes
AFG,physical_inactivity_p2,healthy years lived,2030-01-01,30.71000000089407,70.32999999821186,diabetes
AFG,physical_inactivity_p2,healthy years lived,2031-01-01,41.63000000268221,111.96000000089407,diabetes
AFG,physical_inactivity_p2,healthy years lived,2032-01-01,53.82999999821186,165.78999999910593,diabetes
